,City,Company,Contact Name,Contact No.,Pincode,State,Street Address
34,Kolkata,STEELMECH INDUSTRIES,Mr. D  Bose,(+91)3330207525/2248			, 700001,West Bengal,"2, LAL BAZAR STREET, ROOM NO 207, 2ND FLOOR,"
35,Kolkata,VIKRAM I LTD.,Mr. Anil  Choudhary,(+91)3323439308			, 700001,West Bengal,"1, OLD COURT HOUSE CORNER, TOBACCO HOUSE, 4TH FLOOR,"
36,Kolkata,ZENITH FORGINGS PVT. LTD.,"Mr. GAUTAM  MAHARWAL, Mr. Kejrawal",(+91)3322302536/1022			, 700001,West Bengal,"13, BRABOURNE ROAD,"
37,Kolkata,TEA SPARES MACHINERY,"Mr. S. K. Agarwal, Mr. PRAMOD AGARWAL",(+91)3322105536			, 700001,West Bengal,"11, CLIVE ROW, 3RD FLOOR,"
38,Kolkata,T & I LIMITED,"MR. VINEET BAGARIA , MR. SANJAY BHATTACHARYA , Mr.",(+91)3322488893/2220			, 700001,West Bengal,"19, R.N. MUKHERJEE ROAD, 2ND FLOOR,"
39,Kolkata,T & I GLOBAL LTD.,Mr. P.  BHOWMICK,(+91)3322307629/2243			, 700017,West Bengal,"11, JASSAL HOUSE, 4-A, AUCKLAND SQUARE,"
40,Kolkata,R. J. MERCANTILES PVT. LTD.,Mr. Rajiv  Mukherjee,(+91)3322428083/6557			, 700001,West Bengal,"135, BIPLABI RASH, BIHARI BASU ROAD, CANNING STREET, TOP FLOOR,"
41,Kolkata,GEM FORGINGS PVT. LTD.,"Mr. Shashank  Garg, MR. Prashant  Garg",(+91)3322423839/2698			, 700071,West Bengal,"10/C, MIDDLETON ROW, 3RD FLOOR,"
42,Kolkata,T & I  LTD.,MR. P  Nag,(+91)3322488189/2248			, 700001,West Bengal,"19 R N MUKHERJEE ROAD, 2nd floor,"
43,Kolkata,RAGHUNATH EXPORTS PVT. LTD.,Mr. A K Roy,(+91)3322833613/3614			, 700016,West Bengal,"5F, NORTH BLOCK, PARK PLAZA, 71 PARK STREET,"
44,Kolkata,HISARIA METAL WORKS P LTD.,Mr. Rajesh  Hisaria,02692-235390			, 700006,West Bengal,"P-2, DALIMTOLLA LANE, GROUND FLOOR,"
45,Kolkata,JALAN MARKETING,Mr. B.  SINGH,(+91)3322423719/2213			, 700001,West Bengal,"40/3, STRAND ROAD, 5TH FLOOR, ROOM NO.37,"
46,Kolkata,ARUN COMMERCIAL COMPANY,Mr. Mohit  Khaitan,(+91)3322177328/2217			, 700001,West Bengal,"138, B.R.B. Basu Road Canning Street, Ist Floor,"
47,Kolkata,APOLLO IMPEX,"Mr. Ajay  Lakhotia, Mr. Sachin  Chandak",(+91)3322482223/24/8			, 700001,West Bengal,"4, SYNAGOGUE STREET, 8TH FLOOR, ROOM NO. 808,"
48,Kolkata,SPINTEX INDUSTRIES,Mr. R K Saria,(+91)3322290092/0514			, 700001,West Bengal,"89, NETAJI SUBHAS ROAD, 2ND FLOOR, ROOM NO. 4,"
49,Kolkata,M.M. MACHINERY & EQUIPMENT CO.,Mr. ANAND  MUNDRA,(+91)3325557228			, 700001,West Bengal,"138, B.R.S. BASU ROAD,"
50,Kolkata,ROTAMIC TEXPARTS PVT. LTD.,Mr. sumit  kumar  toshniwal,(+91)3322433732/2672			, 700001,West Bengal,"8/1, lal bazar street, bikaner buildings room no. 9b,"
51,Kolkata,ROCKWELL ENGINEERING CO.,Mr. vinod  sharma,(+91)3322100544/2210			, 700006,West Bengal,"24-B, JATINDRA MOHAN AVENUE,"
52,Kolkata,PRASANT INDUSTRIES,Mr. B.  SINGH,(+91)3364505494			, 700001,West Bengal,"40/3, STRAND ROAD, 4TH FLOOR, ROOM NO. 25,"
53,Kolkata,CHEMJUTEX EXPORTERS,Mr. R K Gupta,(+91)3322434046/1404			, 700001,West Bengal,"72, CANNING ST., 2ND FLOOR,"
54,Kolkata,JINGCHENG INDIA,"Mr. Ramjee  Singh, Mr. SURENDER SINGH KAPOOR",(+91)3322108357/8/9			, 700001,West Bengal,"Room No.22, Ground Floor, 2, N.C. Dutta Sarani, Sagar Estate,"
55,Kolkata,SPEED TEX,Mr. Atiqullah  Mondal,02692-235390			, 700016,West Bengal,"45, MIRZA GHALIB STREET, ROOM NO. P-2 1ST FLOOR,"
56,Kolkata,SPEEDTEX,Mr. MD. ATIQULLAH MONDAL,(+91)3322430994			, 700016,West Bengal,"45, MIRZA CHALIB STREET, 1ST FLOOR,"
57,Kolkata,MUKUND INTERNATIONAL PVT. LTD.,mr. Anuj Bajoria,(+91)3322412311			, 700020,West Bengal,"59-D, Chowringhee Rd., 1st Floor,"
58,Kolkata,MEHALA MACHINES INDIA LTD.,"Mr. RAJIV  RANJAN, MR. C. P. SUBRAMANIAM",(+91)3322433732/2243			, 700064,West Bengal,"BA-127, SALT LAKE CITY, SECTOR-1,"
59,Kolkata,SAHOO KARTIK,Mr. kartik chandra sahoo,(+91)3330280867/3022			, 700040,West Bengal,"4/23, Netaji Nagar,"
60,Kolkata,EAST END SILKS P LTD.,Mr. MD. S ALAM,(+91)3322134573			, 700016,West Bengal,"97, PARK STREET, 4TH FLOOR,"
61,Kolkata,MMP FILTRATION PVT. LTD.,"Mr. VARUN  RAJPUROHIT, Mr. bijon  saha",(+91)3322294172/2229			, 700005,West Bengal,"34C, SRI AUROBINDO SARANI"
62,Kolkata,VOLVO I LTD.,"Mr. ANRIBAN  DUTTA, Mr. Somnath  Bhattacharya",(+91)3322294172/1843			, 700071,West Bengal,"7A/1A MIDDLETON ST.,"
63,Kolkata,SUPREME TREADS PVT. LTD.,MR. RAJESH  VERMA,(+91)3322805001			, 700037,West Bengal,"64-B, BELGACHIA ROAD,"
